id,id_umf,UMF,FLONA,UPA,COD_UPA,id_upa,Conces,Processo,Contrato,Ano_POA,status,AUTEX,Safra,Vol_IF,Vol_Aut,Vol_Exp,Rev_AUTEX,n_arv_inv,n_arv_aut,area_upa,n_UT,n_arv_exp
"0",CXN3,"3",Caxiuanã,"3","3",CXN03-03,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,"2020",Explorada,1015.2.2020.20777,2020-2021,125390.1010000000,40418.3340000000,25735.38600000000,"0","39520","8185",1788.540200000000,"12","4005"
"1",CXN3,"3",Caxiuanã,"30","30",CXN03-30,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"2",CXN3,"3",Caxiuanã,"27","27",CXN03-27,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"3",CXN3,"3",Caxiuanã,"29","29",CXN03-29,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"4",CXN3,"3",Caxiuanã,"28","28",CXN03-28,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"5",CXN3,"3",Caxiuanã,"9","9",CXN03-09,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"6",CXN3,"3",Caxiuanã,"26","26",CXN03-26,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"7",CXN3,"3",Caxiuanã,"10","10",CXN03-10,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"8",CXN3,"3",Caxiuanã,"11","11",CXN03-11,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"9",CXN3,"3",Caxiuanã,"24","24",CXN03-24,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"10",CXN3,"3",Caxiuanã,"25","25",CXN03-25,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"11",CXN3,"3",Caxiuanã,"17","17",CXN03-17,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"12",CXN3,"3",Caxiuanã,"12","12",CXN03-12,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"13",CXN3,"3",Caxiuanã,"15","15",CXN03-15,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"14",CXN3,"3",Caxiuanã,"18","18",CXN03-18,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"15",CXN3,"3",Caxiuanã,"16","16",CXN03-16,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"16",CXN3,"3",Caxiuanã,"19","19",CXN03-19,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"17",CXN3,"3",Caxiuanã,"21","21",CXN03-21,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"18",CXN3,"3",Caxiuanã,"22","22",CXN03-22,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"19",CXN3,"3",Caxiuanã,"20","20",CXN03-20,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"20",CXN3,"3",Caxiuanã,"1","1",CXN03-01,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,"2018",Explorada,1015.2.2018.00145,2018-2019,164427.9737000000,36319.3870000000,21572.34520000000,"1","45403","5688",1828.505600000000,"12",
"21",CXN3,"3",Caxiuanã,"10","14",CXN03-14,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"22",CXN3,"3",Caxiuanã,"13","13",CXN03-13,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"23",CXN3,"3",Caxiuanã,"2","2",CXN03-02,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,"2019",Explorada,1015.2.2019.07284,2019-2020,145025.6288000000,40348.6980000000,30078.51860000000,"0","46311","8389",1951.895500000000,"11",
"24",CXN3,"3",Caxiuanã,"23","23",CXN03-23,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,,Exploração Futura,,,,,,,"0",,,,
"25",CXN3,"3",Caxiuanã,"5","5",CXN03-05,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,"2023",Explorada,1015.2.2023.10259,2023-2024,136618.5884000000,34935.5304000000,24121.52000000000,,"43398","7189",1602.060000000000,"10","4554"
"26",CXN3,"3",Caxiuanã,"7","7",CXN03-08,CEMAL Com Ecológico de Madeiras LTDA,02018.000912/2017-74,03/2015,"2024",autex emitida,1015.2.2024.36371,2024-2025,131635.8387000000,31134.9131000000,,,"44875","9279",1567.018900000000,"10",
"27",ALT3,"3",Altamira,"1",3A,ATM03-01,Patauá Florestal SPE LTDA,02018.002000/2015-75,03/2015,"2016",Explorada,1500.2.2016.00018,2016-2017,81366.2100000000,40180.2180000000,29857.51340000000,"1","16562","5682",3544.850000000000,"39",
"28",ALT3,"3",Altamira,"2",3B,ATM03-02,Patauá Florestal SPE LTDA,02018.002000/2015-75,04/2015,"2018",Explorada,1015.2.2018.01334,2018-2019,141309.5941000000,59821.4650000000,25908.48750000000,"0","25311","8103",2526.900000000000,"28",
"29",ALT3,"3",Altamira,"4",3D,ATM03-04,Patauá Florestal SPE LTDA,02018.002000/2015-75,03/2015,"2020",Explorada,1015.2.2020.22813,2020-2021,108569.4924000000,57607.3090000000,21550.33000000000,"1","19950","9665",3492.113400000000,"16","4209"
"30",ALT4,"4",Altamira,"4",4D,ATM04-04,Patauá Florestal SPE LTDA,02018.002205/2015-51,04/2015,"2020",Explorada,1015.2.2020.18613,2020-2021,109577.5255000000,41939.7620000000,18755.19000000000,"0","18481","6591",2976.304300000000,"26",
"31",ALT3,"3",Altamira,"3",3C,ATM03-03,Patauá Florestal SPE LTDA,02018.002000/2015-75,03/2015,"2019",Explorada,1015.2.2019.12573,2019-2020,148249.1144000000,60476.8380000000,20714.75880000000,"0","27444","9894",3160.743100000000,"40",
"32",ALT4,"4",Altamira,"1",4A,ATM04-01,Patauá Florestal SPE LTDA,02018.002205/2015-51,04/2015,"2017",Explorada,1500.2.2017.00006,2017-2018,105255.0200000000,44732.4420000000,15933.91000000000,"0","15284","4562",2453.358000000000,"32",
"33",ALT4,"4",Altamira,"3",4C,ATM04-03,Patauá Florestal SPE LTDA,02018.002205/2015-51,04/2015,"2019",Explorada,1015.2.2019.04874,2019-2020,86933.1954000000,38002.2390000000,13959.70000000000,"0","15959","5428",2214.200000000000,"20",
"34",ALT4,"4",Altamira,"2",4B,ATM04-02,Patauá Florestal SPE LTDA,02018.002205/2015-51,04/2015,"2018",Explorada,1015.2.2018.00146,2018-2019,143735.8156000000,61795.2810000000,34027.61210000000,"0","24359","8244",3348.971600000000,"34",
"35",ALT1,"1",Altamira,"1",1A,ATM01-01,RRX Mineração e Serviços LTDA,02018.000387/2016-14,03/2013,"2017",Explorada,1500.2.2017.00005,2017-2018,42620.0400000000,13832.7020000000,,"1","10564","2065",,"12","1101"
"36",ALT1,"1",Altamira,"2",1B,ATM01-02,RRX Mineração e Serviços LTDA,02018.000387/2016-14,03/2013,"2018",Explorada,1015.2.2018.01739,2018-2019,86083.4566000000,24474.0810000000,,"1","18697","5019",,"15","1602"
"37",ALT1,"1",Altamira,"3",1C,ATM01-03,RRX Mineração e Serviços LTDA,02018.000387/2016-14,03/2013,"2020",Explorada,1015.2.2020.24667,2020-2021,65509.0944000000,23553.2790000000,,"1","14126","4933",,"15",
"38",CXN1,"1",Caxiuanã,"1","1",CXN01-01,Benevides Madeiras LTDA,02018.102808/2017-13,01/2015,"2018",Explorada,1015.2.2018.00144,2018-2019,37590.4330000000,9407.4750000000,6661.97330000000,"1","6514","1099",,"4",
"39",CXN1,"1",Caxiuanã,"2","2",CXN01-02,Benevides Madeiras LTDA,02018.102808/2017-13,01/2015,"2020",Explorada,1015.2.2020.25327,2020-2021,57532.3110000000,16746.6640000000,,"1","9627","2276",,"7",
"40",S-T1B,1B,Saracá-Taquera,"1","1",SCQ1B-01,SAMISE Ind Com e Exp de Madeiras LTDA,02018.100842/2017-53,02/2014,"2015",Explorada,1500.2.2015.00005,2015-2016,112405.3800000000,47233.9600000000,28004.33270000000,,"40226","10545",1989.970000000000,"20",
